Content,Role,Predicted Label
"With the youngest, the one who died. Maybe because he was younger and I felt I should protect him. [laughter] Yes, that’s it. With my brother who was born right after me, it was like we were the same age, so we challenged each other often and at the same time we were very close, we confided little secrets to each other. But my youngest brother… Frankly, when I think that he was killed in that way, it’s hard to accept, to understand. And it’s also because of his character that I am very sad, very, very sad [to have lost him] because he was such a sweet child, very, very sweet, very nice.",Interviewee,Tension
How old was he?,Interviewer,-
He was 23 years old.,Interviewee,No Tension
In 1994?,Interviewer,-
"Yes, yes.",Interviewee,No Tension
"Can you tell us your dates of birth, so that we know that if he was 23—",Interviewer,-
"Yes, I was born on February 11, 1965.",Interviewee,No Tension
And your youngest brother?,Interviewer,-
"My brother, the one born after me, on April 24, 1969 and the youngest was born in 1971.",Interviewee,No Tension
"Do you also remember, more or less, the birth dates of your parents?",Interviewer,-
"My father and my mother were actually born the same year, 1939.",Interviewee,Tension
and S.G.: Oh!,Interviewer,-
But the dates—,Interviewee,No Tension
You mean months?,Interviewer,-
—they didn’t know them.,Interviewee,No Tension
It’s hard to know that.,Interviewer,-
"Hard to know, yes.",Interviewee,No Tension
"That’s interesting. Going back to your family and the children’s upbringing—so, both of your parents were teachers. When it comes to raising the children at home, did they have different roles? Who was more involved in the children’s upbringing? What were, more or less, their respective roles at home?",Interviewer,-
"It was like in all patriarchal societies: the mother stays at home—well, my mother didn’t really stay at home, but she was there, she worked both outside and inside the home at the same time, so she was pretty much always there. My father was authoritative, we feared, respected him a lot. And my mother used that to threaten us: she would say, “I’ll tell your father when he comes back, you’ll see.” So it was like he was an authority figure, but ultimately—pardon me [blows nose]—in the end, mother was the boss. [laughter] Yes. But in my memory, in fact, my father was the more lenient one, and I understand him—",Interviewee,Tension
Despite his authority.,Interviewer,-
"Yes, and I understand him. He wasn’t always there to see the stupid things we were doing, to see—now that I am a mother myself, I understand what it’s like. [laughter] We rebelled sometimes: “Mom is too—Mom is not nice sometimes, she’s not kind to us.” The same is happening now with my daughter. [laughter]",Interviewee,No Tension
The same thing is happening again.,Interviewer,-
Yes.,Interviewee,No Tension
[laughter] So what are your memories of the place where you grew up?,Interviewer,-
"My memory is of—[laughter] it was like a little corner of paradise, now that I think of it, it was like a little corner… It was the countryside, we lived in the countryside. We would have liked to live in the city, in Kigali, when we were young, to be city dwellers, but now that I think of it, I think we were privileged to live close to nature, to live surrounded by so much beauty: the mountains, the greenery, the space, especially the space we had, we played outside all day, we ran—",Interviewee,Tension
—everywhere—,Interviewer,-
"[laughter] We would come home exhausted, breathless, hungry…",Interviewee,No Tension
And you weren’t afraid?,Interviewer,-
"No, we weren’t afraid of them, really it wasn’t—",Interviewee,No Tension
Of the neighbours?,Interviewer,-
"No, as children we were carefree, we played, we shouted, we ran in the bush, we herded the cows, the calves, kuragira, twaragiraga inyana in the evenings. When I think about it now, I think we had a happy childhood, after all.",Interviewee,Tension
Even though you were seen as a well-to-do family? [laughter],Interviewer,-
[laughter],Interviewee,No Tension
"Sometimes, the relationship with the children next door—were you free to—what was it like? Was it easy to play with your neighbours’ children? Were you free to go anywhere?",Interviewer,-
"No, not anywhere, oh no, no, not anywhere, but our neighbours—we had no problems with our next-door neighbours. Well, my aunt lived 500 meters from our house, so we played with my cousins ​​and with other kids from the neighbourhood. But we didn’t go very far, we stayed close to home. Yes.",Interviewee,Tension
In Rwanda we talk about ethnic groups and that what happened was inevitable.,Interviewer,-
"Yes, we do.",Interviewee,No Tension
Which ethnic group were you from?,Interviewer,-
[laughter] What do you think?,Interviewee,Tension
[laughter],Interviewer,-
"We were—we were among the—we were Tutsi, but I only found that out later. [laughter] That’s why I was saying that my parents were not very talkative people.",Interviewee,No Tension
"We often learned that later, that’s right.",Interviewer,-
You as well? You found out later?,Interviewee,Tension
"Yes, when it was starting to—[inaudible]",Interviewer,-
"Listen, when I started primary school, I didn’t know what it was. But I did know that I was umwegakazi.",Interviewee,No Tension
That’s very interesting. Some people grow old without knowing it.,Interviewer,-
"There was an old woman, a neighbour who loved me very much. [laughter] We would talk a lot, her and I, and she would say, “You are a wowe uri umwegakazi, you are a umwegakazi, you are like me.”",Interviewee,No Tension
And what does that mean? What did she mean by umwegakazi?,Interviewer,-
"It meant a woman with a strong character, an active woman, [laughter] who seems to be everywhere at the same time [shows with a gesture], and I too seemed to be quite active.",Interviewee,Tension
You were showing your umwegakazi side.,Interviewer,-
"She said, “You are umwegakazi.” [shows with a gesture] Abega, I knew we were abega, but other than that…",Interviewee,No Tension
Not much more.,Interviewer,-
"Not much more. When I started—imagine, I was in 2nd grade of primary school…",Interviewee,No Tension
When you realized it?,Interviewer,-
"Yes, but indirectly. At the beginning of every term, one of the teachers—and that is something that has marked me—would say to us, “All abahutu, abahutu hano, stand on this side and all abanari, on the other side.” [shows with gestures]",Interviewee,Tension
Abanari?,Interviewer,-
Abanari.,Interviewee,No Tension
Meaning?,Interviewer,-
From the UNAR party [the Rwandese National Union]. It was a way of saying “cockroaches.” Saying abanari was like—,Interviewee,No Tension
So it was like—specifically referring to UNAR—,Interviewer,-
Those who belonged to UNAR. UNAR was the king’s party.,Interviewee,No Tension
"Oh, abanare.",Interviewer,-
"It was another way of undermining the Tutsis, by calling them abanari. Yes, [inaudible] in people’s heads; simple folk who didn’t even know what that meant. Calling them abanari was another way to further demean the Tutsis.",Interviewee,No Tension
And did the children understand?,Interviewer,-
"No, of course not, we didn’t understand anything. So he would say, “Abahutu hano, the Hutus on this side, [shows with gestures] fyou everyone.” [laughter] That’s what I’m telling you was going on through my head: all of a sudden, fyou… [shows with gestures]",Interviewee,No Tension
"Everyone starts moving places, yes.",Interviewer,-
"Now that I think about it, I wonder how did these children—",Interviewee,Tension
How did they know…,Interviewer,-
"—know that they were Hutu or Tutsi. Fyou the Hutus on this side [shows with gestures] and then he said “abanari,” and there were some—",Interviewee,No Tension
—who didn’t know where to stand.,Interviewer,-
"—because 8-year-old children, 7–8 year-old—if you weren’t in this group, you had to be in the other. But I knew I was umwega, and I had a bit of doubt.",Interviewee,Tension
He didn’t mention abega?,Interviewer,-
"No, no, he didn’t mention abega, but I was unsure, I thought to myself, “Should I go there [shows with gestures] towards the Hutu group, or there [gestures] to the abanari group?” And while I [inaudible] he said to me, “You, you go there, [gestures] to the abanari group.” [takes a tissue from a box nearby]",Interviewee,Tension
So he knew? S.G.: Oh my god…,Interviewer,-
"He knew… [blows nose] We were from the same region, so he knew. “What are you waiting for? Go this way.” [imitates shouting] I went, but my head was full of questions. [shows with gestures] Later, I asked my parents what abanari was. That’s a question that kills, a question that has the power to kill. [sighs] I didn’t get an answer, but later on, speaking to the other children—you begin to understand later on. My parents’ answer wasn’t clear. That’s it. It was—actually, they wanted—they didn’t want the kids talking about it. They didn’t want us, children, going back [to school] and saying, “My dad told me that… My mom told me that…” They were really embarrassed.",Interviewee,No Tension
And they were protecting themselves too.,Interviewer,-
"Yes, they were very embarrassed. So it was like a blur, and they let it go, they dropped the subject and you’d learn about that later. I remember their embarrassment, the disappointment too. So there you go. Did I answer the question?",Interviewee,No Tension
"Yes, yes. You mentioned the teachers. I’m going to ask you now to talk to me about your teachers. [laughter] What do you remember about them?",Interviewer,-
"As I’m speaking and as I’m thinking about my teachers, the image of this one teacher, this gentleman always comes to mind, it’s him I see all the time in my mind, every time.",Interviewee,No Tension
In 2nd grade?,Interviewer,-
"In 2nd grade. I see him, it can’t be erased from a child’s memory… It’s like it kills the innocence in you, this separation in—anyway, he knew who we were because—you do remember the students’ personal files, don’t you? The ethnicity and everything was written there. It was done to humiliate us from a young age, to let into our little heads that you had to be on this side and not on that side. Yes. It’s really, uh—that gentleman was—yes.",Interviewee,No Tension
He was your teacher in primary school?,Interviewer,-
"Yes, in primary school. The other teachers were good. In 1st grade I had a very kind teacher, a neighbour; in 3rd grade, another very nice gentleman; in 4th it was my father—in fact, when—[laughter]—in 5th, another very nice gentleman. Actually, things were good in primary school.",Interviewee,Tension
How many years was primary school?,Interviewer,-
[laughter] For me it was eight years.,Interviewee,No Tension
Okay.,Interviewer,-
It’s six—,Interviewee,No Tension
You had six—,Interviewer,-
I had six—,Interviewee,No Tension
"No, eight teachers, oh that’s right—",Interviewer,-
"I had eight, actually nine, because I did my 6th grade—I don’t know how many—I did my 6th grade three times. I would do 6th grade and then I would repeat it, I had to repeat it because I failed to pass the exam. Actually, I passed it, but I wasn’t selected, it was the famous equilibrium policy and all that. So what could I do?",Interviewee,Tension
Start over again.,Interviewer,-
"Start falsifying things and then I was sent to my grandparents’ house and that was a huge shock. Then after spending eight years in primary school, I remember I—[snuffles] excuse me—",Interviewee,No Tension
That’s okay.,Interviewer,-
"—uh, that’s when I was accepted to a high school, and that wasn’t easy either even though I was first in my class.",Interviewee,Tension
"Yes, precisely, how did you get accepted to high school?",Interviewer,-
"Well, my father had to pay money—he knew someone who worked at the Ministry of Education, he paid a large sum. My parents worked hard, they had put money aside and all, and he paid a big sum, and then I was accepted into a shabby high school that had just opened in our area, in Mubuga.",Interviewee,Tension
In high school—,Interviewer,-
"Initially, it was a three-year high school for, you know, to train teaching assistants, things like that. And later, it was decided that all programs would provide a six-year training, so we spent six years there.",Interviewee,Tension
Six years in high school.,Interviewer,-
"Yes, yes.",Interviewee,No Tension
Did you obtain a specific—a particular qualification?,Interviewer,-
"Well, yes, I was—yes, I [inaudible] excuse me—I was in the “Normale primaire” stream.",Interviewee,Tension
Which led to…?,Interviewer,-
Being able to teach in primary schools. Yeah.,Interviewee,No Tension
And after six years you started teaching?,Interviewer,-
"Yes, for two years—[laughter] I taught for two years, it was the law.",Interviewee,No Tension
"And how did you find work, your first job?",Interviewer,-
Work? It was automatic.,Interviewee,No Tension
Oh really?,Interviewer,-
"When you finished your teaching program in high school you had to write a letter to the school inspector, the area inspector, and then he hired you, he assigned you to a school.",Interviewee,No Tension
Hired—was it certain that you would be hired?,Interviewer,-
"Oh yes, yes, it was certain. It was certain because they needed teachers, they needed qualified teachers.",Interviewee,No Tension
"Whether in your case or in the case of your parents, how did you manage to reconcile your responsibilities at home and at work?",Interviewer,-
"Well, in the case of my parents: we had servants who lived in our house. Also, family members often came and went. It wasn’t complicated, it wasn’t very complicated, I don’t think. [laughter] It was alright.",Interviewee,Tension
We are now in Quebec. I have to ask: When did you leave the family home? [laughter],Interviewer,-
The family home?,Interviewee,No Tension
Yes.,Interviewer,-
"I arrived here in—in August—August 18, 1998.",Interviewee,No Tension
So you left to come here?,Interviewer,-
I left to come here.,Interviewee,No Tension
And that was the first time you left your parents’ house?,Interviewer,-
"Actually, when I finished university—well, I left my parents’ house to go to university—no, no, to start working, to start work in Kibuye as a teacher, in a college in Kibuye.",Interviewee,Tension
You were not living at home at that time?,Interviewer,-
"No, no, I lived there. So it was the first time… Actually, the very first time was when I went to boarding school as a high school student. It wasn’t complicated. Then I left to start working, then I went to university in Ruhengeri, in Nyakinama, and then, after the genocide… In fact, after university I started working in Butare, while my father lived in Kigali, so during that time we didn’t live together.",Interviewee,Tension
"And how did you feel, those first times when you found yourself alone, without your parents? Apart from boarding school—being on your own, did you find that hard or…?",Interviewer,-
Not really.,Interviewee,Tension
No?,Interviewer,-
"No, because I wasn’t very far from my parents in the beginning when I started working in Kibuye. No, it was alright because I could go home whenever I wanted.",Interviewee,No Tension
On the weekends?,Interviewer,-
"Yes, yes.",Interviewee,No Tension
Okay.,Interviewer,-
"Yes, on the weekends and they also came to see me. Uh, I have to say that I left my parents when I was really young, as I said in the beginning, I was 12 when I went to live with my grandmother. To me that was a terrible shock, even though my grandmother was there, but I had never lived with her before. My aunt was there too, she was a teacher, we lived under the same roof. I had a cousin and a maid, so we were a whole family. Despite all of this, it was still very hard, very, very hard, at 12 years old, it was very difficult because that was another way of life, another environment, it’s—yeah. It was very difficult, but after a while it wasn’t so difficult anymore. So there. But at the same time, I—when I left as an adult, it was a whole new experience living away from my parents—I felt free. [laughter] I said before that my parents were very protective. Had I stayed close to them—[laughter, shakes head saying “no”]—no, no, as an adult, I had to experience that, to live—to take care of my life. Yes. But I also must say that I was used to moving around. I was an athlete, I played volleyball and we travelled often with the team, we played all over the country and outside of the country too, so I had—I loved that experience of—",Interviewee,Tension
Going on an adventure—,Interviewer,-
"—going on an adventure—I loved it! Yes. For sure my parents were always, always worried—",Interviewee,No Tension
Right.,Interviewer,-
—but I liked it.,Interviewee,No Tension
"Especially since you are a girl, the only girl [in the family].",Interviewer,-
"Oh yes, the only girl—what will happen to her? When I was far away from them, I was living a different experience. [laughter]",Interviewee,Tension
It was always an experience.,Interviewer,-
Yes. [laughter],Interviewee,No Tension
And what was your salary?,Interviewer,-
…?,Interviewee,No Tension
Your salary when you started working. I don’t know—did you continue working there after you graduated from university?,Interviewer,-
"No, after university—I went to Butare… After—well, I started working after high school. I had a big salary… [laughter]",Interviewee,No Tension
Was it enough?,Interviewer,-
I didn’t know what to do with that money. [laughter],Interviewee,No Tension
Even though at that point you were living in a house away from home?,Interviewer,-
"The first year, I lived at home with my parents, I was teaching at the primary school in my region during that first year. And I didn’t know what to do with my money because I had never managed money before. [laughter] I had never had any responsibilities and with a big sum like that—I think it was something like 12,000 Rwandan francs—so I didn’t know what to do with that amount, honestly. I spoiled myself.",Interviewee,Tension
"It was enough, it was a pretty good sum.",Interviewer,-
Oh yes. And my parents didn’t really need me.,Interviewee,Tension
[laughter],Interviewer,-
"No, really. My father was telling me to keep my money, to save most of it. He said, “Save your money, buy yourself whatever you need, but especially save your money, you will need it.”",Interviewee,No Tension
You never know.,Interviewer,-
"Yes, pff, that’s true. I wasn’t frugal at all. I was never worried about money.",Interviewee,No Tension
"So, after university you didn’t work there?",Interviewer,-
"After university, I worked in Butare, I was teaching assistant.",Interviewee,No Tension
So it was an even bigger salary?,Interviewer,-
No.,Interviewee,No Tension
[laughter],Interviewer,-
"No, on the contrary, I was poor. [laughter]",Interviewee,No Tension
How come?,Interviewer,-
I was poor. [laughter],Interviewee,No Tension
How come you became poor?,Interviewer,-
"Yes, I was poor because I had more responsibilities.",Interviewee,No Tension
Why more responsibilities?,Interviewer,-
Because—,Interviewee,No Tension
Rent—,Interviewer,-
—I had to pay rent—,Interviewee,No Tension
In Butare?,Interviewer,-
"Yes, pay the rent and—",Interviewee,No Tension
[inaudible] when did you finish university?,Interviewer,-
"In 1997, in 1997. At the same time there were children, orphans, people who were really in need, I couldn’t ignore them. And my father had gone to Kigali because we couldn’t live where we were, there was nothing left for us to do in our village, nothing, so we were in Kigali and life had become more expensive. My father was working, he was a teacher, he continued doing that. He was a teacher in Kigali. It wasn’t like before. Orphans stayed with us at our house, so it was tight quarters. But we managed. Space was tight though.",Interviewee,Tension
This is the time after you survived?,Interviewer,-
Yes.,Interviewee,No Tension
I’m going to ask you—,Interviewer,-
What?,Interviewee,Tension
"About that period, which brought along with it so many problems and orphans.",Interviewer,-
"Yes, after the genocide?",Interviewee,No Tension
And during the genocide too.,Interviewer,-
"Oh yes. [laughter] No, no, ask the question, ask it clearly…",Interviewee,No Tension
"Tell me about this period, in 1994.",Interviewer,-
"Uh, 1994, yes, actually, I was in Kigali when it happened.",Interviewee,Tension
How old were you? Where were you?,Interviewer,-
"I was 29 years old, I was in Kigali. I had left my—it was Easter break. I had left on a Wednesday morning, very early in the morning, to go to Kigali, I had some shopping to do. I arrived in Kigali around 10 am. I had some contacts—people I was going to meet. Then, in the evening—paff!—they said that the President had just crashed, his plane had just crashed. Just a few hours prior to that, I wouldn’t have believed there could be an accident because the soldiers from the UN mission were there and we had signed peace treaties in Arusha. In my mind it was rather—well, I—in my mind I thought it was—I thought that something good would come out of it, that we would make it through. But when I heard the news—I was with friends of mine, a family—when we learned that apparently the President’s plane was burning, a dark picture emerged right away. To me, it was clear. It was like I could see what was going to happen. And at that moment I was ready, I was ready. I thought that if Habyarimana were killed, it was over. I had been thinking, “Even if he had died from a sickness, we are going to pay.” And this time I thought, “If he’s been killed, it’s over.” There was no doubt in my mind. If I could have left, I would have right away—leave the country, that is—I would have, but I couldn’t. We heard that roadblocks had been set up and we could hear gunshots all night—they had already started killing people. This family and I, we fled to Saint Paul [Centre], near Sainte-Famille, and we stayed there for three months. We arrived on the 7th in the afternoon and we left a few days before they captured Kigali, we were evacuated to Kabuga, in the zone controlled by the RPF. So during that whole time, there was no doubt in my mind that I was the only survivor in my family.",Interviewee,Tension
Who were you with exactly during that time?,Interviewer,-
With a lot of people.,Interviewee,No Tension
At Saint Paul?,Interviewer,-
"Yes, with many people who lived in the neighbourhood or other people who were sent to Saint Paul. There were about 1,000 of us—1,500, I think. And every day we were waiting to be killed. Every morning they would come, the militia, the soldiers, they came to pick people up, they took the young, the men, they killed them downstairs, they shot them downstairs.",Interviewee,Tension
What kind of a place is Saint Paul?,Interviewer,-
"It’s a pastoral centre. Saint-Paul is right next to Sainte-Famille, so there were—it’s a centre that hosted people, I think, for meetings or retreats, it belonged to the Kigali diocese. There was a priest there who was really great, who—well, he protected us, he did his best not to give us up, he did his best to keep us alive, he interceded with the militia, he would say, “There are no RPF supporters here; these are just poor people who are hiding.” We survived, and then the RPF came to evacuate everyone.",Interviewee,Tension
"What did you do for food and how did you manage to survive in this place with 1,500 people?",Interviewer,-
"I’m telling you, we lived, we survived, I don’t know how, but we survived. It was, precisely, this priest who went every morning to get food, to get some water. For sure, it wasn’t much of a life, it was survival. We could—sometimes, we didn’t eat for days! That wasn’t the problem. The problem—",Interviewee,Tension
And after that you knew you were capable—,Interviewer,-
"Yes, the problem was fear, insecurity. And the news we were hearing from here or there about families decimated completely, and then hearing every morning the militia who came to work there as employees—yes, they were employees.",Interviewee,No Tension
They came to work?,Interviewer,-
"Every morning they came to work, and after that—",Interviewee,No Tension
What were they doing? What were they there to do?,Interviewer,-
"Well, they came with their shining machetes—",Interviewee,Tension
That was their work?,Interviewer,-
"Oh yes, they would come looking for people, searching to see if there were any RPF agents; then they would take the young, the men, they would bring them downstairs.",Interviewee,No Tension
That was the work they were doing?,Interviewer,-
"Yes, that was their work. [silence] [smile]",Interviewee,No Tension
"How did you get news from the others? Was it because other people were coming to the church, to seek refuge there—",Interviewer,-
Every day there were people who—,Interviewee,No Tension
—was it them who brought news?,Interviewer,-
"Yes, people were coming every day and were telling us, “This family is completely gone, that family is gone, that other family is—” And there were other kinds of news too that were more difficult to bear, yeah.",Interviewee,No Tension
Do you remember when you went to that church?,Interviewer,-
"To Saint Paul—it was April 7, around 3 o’clock. But at that time things weren’t clear yet. I—we were very scared, things weren’t clear yet. We got there, we were [sleeping on] bedspreads—pff—we were living in fear and the children were crying, we didn’t want to hear them cry—pff—it was scary, it really was. We were very, very scared.",Interviewee,Tension
And do you remember when you left this place?,Interviewer,-
"In fact, I left it—",Interviewee,No Tension
—and how?,Interviewer,-
"I left it to go to the Hôtel des Mille Collines because I was injured. [points to her shoulder] I was shot in the shoulder and had an infection and I wasn’t feeling well. I was very sick. One of the soldiers from the FAR, the Armed Forces—",Interviewee,Tension
—the Rwandan—,Interviewer,-
"Yes, he was—there were soldiers who had been sent to Saint Paul supposedly to protect us, but in fact they were informing on us, they were watching the entrances, they were observing us and they were—they were watching the people there. But he was a very kind man—we could see that he really was—he believed in the cause, but he had—",Interviewee,No Tension
"—a humane side, he had preserved his humanity.",Interviewer,-
"Yes, he had remained a human being. He knew all kinds of information such as that they were going to kill everyone there. He asked a friend of mine if or what he could do for her—although he didn’t really have power, he was only a subordinate. And my friend said, “Can you transport us to the Hôtel des Mille Collines?” because we had heard that—we had learned that they had water there. [laughter]",Interviewee,Tension
People were treated better there.,Interviewer,-
They had all that water from the pool. [laughter],Interviewee,No Tension
Ops. [laughter],Interviewer,-
"And then he asked me, “Do you want to go to the Hôtel des Mille Collines?” Well, I didn’t know anymore—I didn’t know what I—I couldn’t think straight. I said, “Okay, let’s go.” We got into his car and we drove to the Hôtel des Mille Collines. The next day, the RPF evacuated Saint Paul, where we were. And people later told us that everyone who was at Saint Paul had been massacred—everyone. All of them.",Interviewee,Tension
And you had just escaped!,Interviewer,-
I sank to the ground.,Interviewee,No Tension
When you heard the news?,Interviewer,-
"Yes. I collapsed because for me those people were my only family, the only family I had left, we had created very, very strong bond between us. When you live together with someone for three months you become like one person. But fortunately, it wasn’t true.",Interviewee,No Tension
Aaah…,Interviewer,-
It wasn’t true. We were evacuated the next day. The same day the militia attacked us—pardon me—[takes a tissue and blows her nose],Interviewee,No Tension
At Mille Collines?,Interviewer,-
"[Nods] We were attacked—wow, wow—it was difficult. Fortunately, the UNAMIR soldiers [United Nations Mission in Rwanda] were there and there were ongoing negotiations to exchange refugees. Some refugees were on the side of the RPF zone and some were on the government side; there were negotiations to exchange them. Fortunately, we were in—",Interviewee,No Tension
—part of that exchange.,Interviewer,-
The next day we were put in trucks and we were sent to the area controlled by the RPF. And that’s the end of the story. [laughter] Yes.,Interviewee,No Tension
You went to the RPF-controlled zone?,Interviewer,-
Yes.,Interviewee,No Tension
But the war was not over yet?,Interviewer,-
"No, no. We were driving by the posts of the Presidential Guard. Pff—I thought to myself: Is there anything more ridiculous than this situation? I didn’t understand anything anymore. A few days before, we couldn’t even look out the window, and now we are driving past them—",Interviewee,Tension
And now you’re going to the RPF zone.,Interviewer,-
