Content,Role,Predicted Label
"In fact, I finished high school in Belgium, because when the genocide started, I was in my fifth year of secondary school and I finished it in Belgium. I had to adapt to life in Belgium, so I lost maybe two years before finally finishing high school. After I arrived in Belgium in 1994, I spent one year without doing anything. I started school the year after that, but it was a different environment: the teachers were different, the relationship between students and teachers was different. So, let’s say I lost two years at the time when I was in high school. Then, when I started again, I became interested in marketing and I enrolled—in Belgium, students go directly to university after high school—so I enrolled to study marketing. Every year at Christmastime, I dropped out of the program. I did that two years in a row: I dropped out at Christmas.",Interviewee,No Tension
Was it because your grades weren’t good?,Interviewer,-
"The grades—it’s not that I had bad grades, I was lacking motivation. What was happening was—I was going back to Rwanda—and I felt like something was missing. Before, my parents were the driving force pushing me forward; they were always there to push me even to the point of threatening me. Since I’m not a student at heart, someone who likes to study, it wasn’t surprising I was dropping out since I didn’t have anyone to pressure me or push me, and that’s what happened two years in a row in Belgium, and— [short break in the recording] And that’s it. I changed—I switched universities, I would start somewhere else and the same thing would happen again. So at one point, I dropped out completely; I started working in Belgium.",Interviewee,No Tension
What was your first job?,Interviewer,-
"My first job… My first job, I remember, was coding, I did coding for a company, and these kinds of jobs were—we called them “interims,” because we would change them every six months—we would get transferred to another company. I did a lot of these odd jobs in the meantime, things were always changing, so my life was quite unstable. I noticed a lack of stability [in my life] after the genocide, really, a complete lack of stability. And I couldn’t ask—well, I could have asked for help, but I couldn’t bring myself to make that request. The person closest to me was my brother; he was going through the same thing, he was going through the same kind of—",Interviewee,No Tension
The two of you left for Belgium together?,Interviewer,-
"He was already in Belgium. He was already in Belgium with my sister, and their life wasn’t easy either, so I didn’t have an example to follow. My life was quite—it was quite hectic after 1994, I didn’t know which direction to take.",Interviewee,No Tension
What happened to your parents? Were they with you? Or were they in Rwanda? What happened at the time of the genocide?,Interviewer,-
"At the time of the genocide—I can take as a starting point the 6th when the plane was shot down—I was in my bed, I was anticipating a normal night and going to school the next day. And then, around 6-7 o’clock in the evening, we heard the blasts. Two big explosions. We didn’t pay much attention to it, we thought it was grenades exploding in the surrounding areas. There were always the sounds of gunfire, grenades, even in our neighbourhood, which was rather quiet, we were always hearing the occasional shot and so we thought, “It must be a grenade.” So I went to sleep and in the morning—very early in the morning, around 5-6 o’clock—my mother came to wake me up and she said, “You’re not going to school today, the plane—the President is dead.” To me this was good news, I said, “Oh! I’m not going to school! That’s good!” The President is dead, well, we’re going to—the country will open up—because I was always hearing on the radio that the President was against the Arusha Accords, the President this, the President that, so I thought to myself, “Well, this is good news!” I saw that as the end of all of the country’s problems and I thought that everything was going to be all right in Rwanda. And we spent the morning—very early in the morning until—we even had breakfast around 8 o’clock. And then the shooting became much more repetitive; until then, shots were fired only occasionally, but at 8-9 o’clock the bombing started. And, well, we were beginning to—I could see my dad calling people left and right, he didn’t talk to me at all, I don’t remember my father talking to me that day or—at home that day, he was always on the phone, he was pacing back and forth. Without thinking, I went to the garden, I looked out, I saw houses being blown up, I saw grenades, [I heard] shots… Maybe I can provide a bit of context here. When I was a student at the Belgian School, I grew up in—I was like a child isolated from all the problems in Rwanda, ignorant of the ethnic groups, ignorant of Rwanda’s fundamental problems. I hadn’t paid attention to the different political movements, I thought of them as soccer teams—with their flags, their street demonstrations; to me they were like competing soccer teams. I never took them seriously. Even at school, I remember, I was classmates with the children of ministers, the children of high dignitaries. Kabuga’s children were also there, and Mbonyumutwa’s children, the children of all the military officers—almost all of them were there; I was friends with them. I remember at one point it became fashionable to wear small medals [points to his shirt] with the party symbol, and they were wearing those to school. I remember I was making fun of them, I was saying, “Your president is a dictator, he’s not letting the other parties express their voice! The MDR [Republican Democratic Movement] is no good.” I was saying that innocently, without really—just for fun. I knew that Dad was in the PL [Liberal Party] and I was proud to say it. I was saying, “Yeah, one must be a liberal!” I saw the liberals [the members of the Liberal Party] as—the very word, “liberal”—as free. We are free. So, at school, I boasted, I was always saying, “Oh, one has to be free, you are in movements, in parties led by dictators,” and things like that. There was never any aggression, never a threat on my part. And it went on like this. If a child had come up to me and had said, “Hey, you, we’re going to kill you” or if someone had attacked me, maybe then I would have seen the sign and I would have understood some of what was going on, but never, ever, was there a single complaint about—it was all for laughs… We were joking.",Interviewee,Tension
15-16 year-old children.,Interviewer,-
"We were 15-16, we never… No doubt, I grew up in a bubble where I knew nothing related to the problem, but I was never threatened. I had a cousin who lived at home with us, and every evening he came home very early, at half-past five he was already home. And I thought—he was older than me, he must have been 18 years old, and I would ask him, “I come home after you, and you’re always here, why is that? Why aren’t you staying out and having some fun?” [Pause in the recording]  So we were—it was—",Interviewee,No Tension
"You were talking about your classmates and about the ethnic issues, so questions of—and about political parties—",Interviewer,-
